brand,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
Renault,2016,59300,1,1,1,1,25.17,799.0,53.3,5.0,12.388394202324129
Maruti,2013,60000,1,1,1,4,22.74,796.0,47.3,5.0,12.043553716032399
Hyundai,2009,56000,1,0,1,2,19.383089105743082,1248.0,82.85,5.0,12.180754837545884
Tata,2018,50000,0,1,1,1,17.6,2179.0,153.86,7.0,14.237504968023648
Mitsubishi,1999,100000,0,1,1,3,14.8,1998.0,68.0,5.0,11.951180395901384
Hyundai,2017,50000,0,1,1,1,24.0,1186.0,73.97,5.0,13.028052697933088
Maruti,2009,90000,1,1,0,2,12.6,1586.0,103.3,5.0,12.206072645530174
Toyota,2015,170000,0,1,1,1,12.99,2494.0,100.6,7.0,14.151982794585487
Maruti,2010,110000,0,1,1,2,21.1,1248.0,73.9,5.0,12.429216196844383
Maruti,2010,50000,1,1,1,1,15.0,1586.0,104.68,5.0,12.611537753638338
Maruti,1999,26320,1,1,1,1,16.1,796.0,37.0,4.0,11.289781913656018
Chevrolet,2016,67600,0,1,0,1,14.81,1998.0,163.7,5.0,13.527828485512494
Toyota,2013,79328,0,2,1,2,12.99,2494.0,100.6,7.0,13.527828485512494
Maruti,2011,70000,1,1,1,2,14.0,796.0,35.0,5.0,11.77528972943772
Maruti,2018,38817,0,0,1,1,27.39,1248.0,74.0,5.0,13.514405465180353
Hyundai,2018,11000,1,1,1,1,15.8,1591.0,121.3,5.0,14.01436141670944
Maruti,2004,70000,1,1,1,2,19.7,796.0,46.3,5.0,11.156250521031495
Maruti,2014,90000,0,1,1,1,25.2,1248.0,74.0,5.0,13.180632285528304
Hyundai,2017,186000,0,1,1,1,19.67,1582.0,126.2,5.0,13.919870573288517
Hyundai,2016,133000,0,1,1,1,21.38,1396.0,88.7,5.0,13.764217263576723
Tata,2012,110000,0,1,1,2,19.09,1396.0,69.0,5.0,11.970350312009105
Hyundai,2017,30000,1,1,1,1,18.9,1197.0,81.86,5.0,13.060487973686241
Honda,2016,22000,1,1,1,1,17.8,1497.0,117.3,5.0,13.737549016494562
Fiat,2011,60000,0,1,1,1,20.3,1248.0,75.0,5.0,12.611537753638338
Maruti,2016,70000,0,1,1,2,24.52,1248.0,88.5,7.0,13.53579665516167
Maruti,2014,25000,1,1,1,1,16.02,1373.0,93.7,7.0,13.235692062711331
Maruti,2009,120000,0,1,1,2,19.3,1248.0,73.9,5.0,12.468436909997665
Maruti,2006,110000,1,1,1,4,18.9,998.0,67.1,5.0,11.156250521031495
Tata,2008,120000,0,1,1,1,19.09,1396.0,69.0,5.0,11.512925464970229
Chevrolet,2016,50000,1,1,1,1,18.6,1199.0,76.8,5.0,12.254862809699606
Tata,2009,55768,0,1,1,1,17.0,1405.0,71.0,5.0,12.043553716032399
Ford,2015,206000,0,0,1,1,22.77,1498.0,98.59,5.0,13.217673557208654
Maruti,1997,100000,1,1,1,2,17.3,993.0,60.0,5.0,11.156250521031495
Maruti,2011,175000,0,1,1,2,21.1,1248.0,73.9,5.0,12.043553716032399
Mahindra,2011,80000,0,1,1,3,15.1,2179.0,140.0,7.0,13.287877815881902
Maruti,2017,70000,0,1,1,1,24.3,1248.0,88.5,5.0,13.38472764187182
Maruti,1999,80000,1,1,1,3,16.1,796.0,37.0,4.0,11.289781913656018
Tata,2014,300000,0,1,1,1,15.3,2956.0,83.83,7.0,12.524526376648708
Volkswagen,2019,36800,0,0,1,1,20.14,1498.0,88.0,5.0,13.45166712454693
Hyundai,2013,53000,0,1,1,2,21.9,1396.0,88.76,5.0,12.873902018105829
Maruti,2017,40000,1,1,1,1,17.5,1373.0,91.1,7.0,13.547631112808673
Maruti,2005,59635,1,0,1,2,19.383089105743082,1248.0,82.85,5.0,11.56171562913966
Maruti,2010,120000,0,1,1,4,19.3,1248.0,73.9,5.0,12.506177237980511
Maruti,2015,20000,1,1,1,1,20.85,1197.0,83.14,5.0,13.17115354157376
Maruti,2014,145500,0,1,1,1,23.4,1248.0,74.0,5.0,13.017002861746503
Mahindra,2020,120000,0,1,1,1,15.1,2179.0,152.87,7.0,13.62918097977278
Mahindra,2016,50000,0,1,1,1,18.49,1493.0,100.0,7.0,13.458835614025542
Maruti,2013,43978,0,0,1,2,28.4,1248.0,74.0,5.0,13.017002861746503
Hyundai,2012,30000,1,1,1,1,20.36,1197.0,78.9,5.0,12.506177237980511
Maruti,2016,40000,0,1,1,1,24.52,1248.0,88.5,7.0,13.698976741708323
Toyota,2013,100000,1,1,1,2,16.78,1496.0,88.73,5.0,12.765688433465597
Hyundai,2015,20000,1,1,1,1,19.81,1086.0,68.05,5.0,12.793859310432293
Mahindra,2016,40000,1,1,1,1,18.15,1198.0,82.0,5.0,12.89921982609012
Maruti,2013,149000,0,1,1,1,23.4,1248.0,74.0,5.0,13.071070083016778
Fiat,2011,30000,0,1,1,1,20.4,1248.0,91.2,5.0,12.429216196844383
Mahindra,2013,117000,0,0,0,1,11.18,2696.0,184.0,7.0,13.592367006650065
Maruti,2005,80000,1,1,1,3,15.9,1298.0,85.0,5.0,11.440354772135393
Ford,2013,169000,0,1,1,1,20.0,1399.0,68.1,5.0,12.206072645530174
